               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1082,            0.039979,            0.027171,           0.0012615,             0.10626,          0.00094654,          0.00023825,            0.097927,             0.03304,             0.02588,            0.070789,           0.0032456,           0.0032456
                   1,             0.10297,            0.044875,            0.025525,           0.0017845,              0.1174,           0.0011183,          0.00025859,            0.094989,            0.034628,            0.024916,            0.040746,           0.0065355,           0.0065355
                   2,             0.10066,            0.047245,            0.024052,           0.0012091,           0.0016474,          0.00036284,          8.5013e-05,             0.12151,            0.030919,             0.03346,            0.010659,           0.0097814,           0.0097814
                   3,            0.097983,            0.047391,            0.023264,           0.0014036,            0.026189,            0.000545,          0.00013747,             0.13111,             0.69758,            0.084049,            0.009802,            0.009802,            0.009802
                   4,             0.09684,            0.046339,            0.021721,           0.0028972,           0.0098847,           0.0013312,          0.00036149,             0.11226,            0.038434,              0.0287,            0.009802,            0.009802,            0.009802
                   5,            0.094082,            0.045582,            0.019435,             0.61918,            0.083196,            0.050418,            0.014793,            0.090524,            0.034392,            0.018858,            0.009736,            0.009736,            0.009736
                   6,             0.08708,            0.043819,            0.017109,             0.62279,             0.15733,            0.092034,             0.02823,            0.076705,            0.037777,             0.01526,             0.00967,             0.00967,             0.00967
                   7,            0.081606,            0.049934,            0.016484,             0.62076,             0.14168,            0.083874,            0.029068,            0.078004,            0.033002,            0.015465,            0.009604,            0.009604,            0.009604
                   8,            0.076468,            0.044096,            0.015668,             0.65355,             0.17875,             0.11733,            0.034522,            0.081234,            0.068266,            0.017786,            0.009538,            0.009538,            0.009538
                   9,            0.074648,             0.04516,            0.015297,             0.68744,             0.22674,             0.15265,            0.050823,            0.066568,            0.039674,            0.014117,            0.009472,            0.009472,            0.009472
                  10,            0.071438,            0.041895,            0.013771,             0.70569,             0.21334,             0.17189,            0.047438,            0.068585,            0.036362,            0.014974,            0.009406,            0.009406,            0.009406
                  11,            0.068962,            0.041567,            0.015038,             0.70683,             0.25618,             0.19014,            0.065919,            0.064959,            0.034803,            0.012661,             0.00934,             0.00934,             0.00934
                  12,            0.068413,             0.04471,            0.014441,             0.78013,             0.25607,             0.26992,            0.089879,            0.062199,            0.036169,            0.012883,            0.009274,            0.009274,            0.009274
                  13,            0.066165,            0.040576,            0.013829,             0.86875,             0.29984,             0.36301,             0.13349,            0.057718,             0.03634,             0.01243,            0.009208,            0.009208,            0.009208
                  14,            0.064056,            0.039514,            0.011997,             0.71807,             0.28171,             0.24689,            0.099929,            0.056536,            0.028385,             0.01178,            0.009142,            0.009142,            0.009142
                  15,            0.063625,             0.03805,            0.011247,             0.40296,              0.4284,             0.38261,             0.16035,            0.055168,            0.028732,            0.010436,            0.009076,            0.009076,            0.009076
